-0:14	雪国	もうちょっと良い表情差分無かった？
-0:14	ヘィヴンダックス	ツらい
-0:14	エーピー	ツイートえらい
-0:14	ふぉるす	ツイート
-0:13	ないむん	
-0:13	ルキルキ	ついえら
-0:13	Rocco Price	💤💤💤
-0:12	まつまえ	ついえら
-0:12	中空chukuu	ツイ
-0:12	ぺねみ	ついえら
-0:12	わっとぅー	ついえら
-0:12	kana	
-0:11	神田ノ	始まる！？
-0:11	あかあか	
-0:11	H B	
-0:11	ナオチャン	…
-0:11	さちくろ	ついえら
-0:10	ゆゅうり	
-0:10	ふくざわゆきち	えらい
-0:09	n okp	えらくてえらい
-0:09	放浪者	ついえら
-0:08	帆楼	ついえら
-0:08	腰痛	
-0:08	洛水佑馬	ツイート
-0:07	がむせっか	
-0:07	s i	
-0:07	水木あやせ	
-0:07	クリ	がんばれ！
-0:07	Yuri	
-0:06	星野空	ついえら
-0:06	Jeremy Lin	
-0:05	ジェイソンステイサム	ついえら
-0:05	ボッスン	
-0:05	TAISHO	
-0:05	ケンフー	ハードルが高すぎて見えねえや
-0:04	ネリー・モノ	おはしいなもなんだ…？
-0:04	ねこわん	
-0:04	山茶花	ツイート
-0:03	ゆずぽんず	ついえらー
-0:03	SonoNa R	
-0:03	ミコ	しぃしぃ
-0:02	アカうぃん	ツイート
-0:02	川原太一	見てるこっちがこえー
-0:01	ぷりっつPretz	ツイート
-0:01	のわき	生きててえらい
-0:01	かそく	ツイート
-0:00	ざんまいTF	ついえら
-0:00	キラボシ	
-0:00	ねこわん	つい
0:02	夕花	しぃしぃ！？
0:03	うどんこねっと	ついえら
0:03	Nori Nori	
0:03	かずき	ついえら
0:05	エスカルゴ総長	しぃしぃ！？
0:06	わたらら	ついえら
0:06	Rinka	ついえら
0:07	かおう_____ta	
0:07	くおます	
0:07	Nkn D3200	
0:08	アカリーヌ	
0:09	ヘィヴンダックス	直前の勉強を活かしていけ
0:09	*417 Kyo	
0:09	腰痛	
0:09	ブラホ	
0:10	すう	
0:10	よっしぃ	楽しみぃ
0:10	pankys	
0:10	虹の獅子	きちゃ！
0:10	ながねぎ	
0:11	たかるか	
0:11	EPタカヒロ	顔でっか
0:11	獅子芝	
0:11	キノコロック	おは
0:12	桃野パピコ	
0:13	西アマネ	
0:13	yuyu sasa	くるぞおおおおおおおおお
0:13	シモヘイヘ	
0:14	げら	しぃしぃ！？
0:15	篝火カガリビ	
0:15	瓦斯灯	
0:15	博麗麗博	ついえら
0:15	BLUE 350	きちゃ！
0:15	ゴールドオーガー	しぃしぃ!?
0:16	アキパン	きちゃあああああ
0:16	こまち	おは喧嘩凸～
0:16	KeyKey	ツイート
0:16	しょん	しぃしぃ！？
0:16	SizEs	語部に凸すると聞いて
0:16	Rei_ S2	
0:17	みなみ	
0:17	黎明卿新しきボンドルド	ぶっ潰せ！
0:17	黛ヒロユキ	
0:19	妃奇	ついえら
0:19	神戸しゃれ	きちゃ
0:19	ねこさん1号	お
0:19	かわ3	
0:19	Iceman	
0:19	凝固	
0:21	ねくろく	きた
0:21	s i	喧嘩の時間だあああああああああ
0:21	chromin クロミン	
0:21	ぬぬぬぬーんomorinao	しぃしぃ
0:22	AK 107930	きちゃ
0:22	西アマネ	
0:22	冬獅郎-とうしろう	きちゃ！
0:23	くおます	
0:23	ろととと	おは喧嘩
0:23	けんばく	
0:23	サルモネラ菌	しぃしぃ！？
0:24	ふくざわゆきち	きたあああ
0:24	かめ	
0:24	ゆずぽんず	きちゃ
0:24	DKYM	おはボンバーマン
0:24	_するめーかー	
0:24	白玉団子	きちゃーーーー！
0:25	まどぶち	おはしいなー
0:25	みのわのぎんさん	🔥
0:25	しゃけねこ	
0:25	ないむん	
0:25	松井、	OP
0:25	ネムイ	
0:26	kbf kbf	うっさ！
0:26	ひがしのそら	
0:26	ジョン	
0:26	シモヘイヘ	きちゃ！
0:26	天翔る迷惑	きちゃ！
0:27	春光雪	きちゃ！まるい
0:27	ぼんじゅ	
0:27	村田ネギ	
0:28	まー。	
0:28	かんぱち	
0:28	獅子芝	つい
0:28	ひいろ	きちゃ！
0:28	Ei NAGOMI	きちゃ～
0:28	ぜろこーら	始まった
0:30	ライズ。	おは喧嘩凸ー
0:30	夢たんぽ	
0:30	楪*	
0:31	rosugi	おはしいな〜
0:31	弾当てられない	
0:31	ペコネン	おしゃれOP
0:31	ハムストリングスはっはは	神
0:31	虹の獅子	
0:31	めぐし	
0:31	暴走しかけたその張本人	しぃしぃ！？
0:31	とむ	きちゃ！
0:32	笑顏	
0:32	あち楽	きちゃ
0:32	Rコディーノ	
0:32	くろあた	
0:32	ジョン	
0:32	KeyKey	
0:33	。みーみ	きちゃ！
0:33	まっぴー	
0:34	アキパン	OPだああああああああ
0:34	エルベル	
0:34	ピカタマン	戦がはじまる
0:34	うちのタコ	きちゃ！
0:34	わたり	きちゃ〜
0:34	azuri	
0:34	なや	
0:35	オクラトラ	おはぶつ切り
0:35	bi bibi	
0:35	イープカ	おはしいな
0:35	KATARIPi	きちゃ
0:35	カン菓子	しぃしぃ
0:35	もるぽん	おはしいな～
0:36	コね	きちゃ
0:39	心刃	
0:39	ターキー	ぶつ切り待機
0:39	kimera	しぃしぃ！？
0:39	あんのうさぎ	
0:39	すかうさ	ゴング鳴ったな
0:40	はぜ	きちゃ
0:40	a a	きたああああああああああああ
0:41	ゆう	きちゃ
0:41	kyo	きちゃー
0:42	ゅぅゃょゎぃ	きちゃ！
0:43	もこもこありえす	
0:43	ri-l	
0:43	たるたる	おはぶつ切り〜
0:44	もか	
0:44	ガリレオ	喧嘩凸でぶつぎるわけ
0:44	星野空	流石にぶつ切りじゃないよね…
0:44	シルヴィア	opきちゃー
0:44	ソーセン	ぶつ切り待機
0:44	Mizuna	おはしいな～
0:45	エウテルペ	おはしいな〜
0:45	おるかず	
0:45	azsa Hob	きーちゃーじぃじぃ
0:45	s i	
